Area Name,Year,Month,Adjusted,LaborForce,Employed,Unemployed,Unemployment Rate(%),Labor Force Participation Rate(%),Employment to Population Rate(%)
Jones County,2017,00,Not Seasonally Adjusted,4345,4152,193,4.4,,
Jones County,2018,00,Not Seasonally Adjusted,4315,4132,183,4.2,,
Jones County,2019,00,Not Seasonally Adjusted,4273,4108,165,3.9,,
Jones County,2020,00,Not Seasonally Adjusted,4043,3816,227,5.6,,
Jones County,2021,00,Not Seasonally Adjusted,4178,3998,180,4.3,,
Jones County,2022,00,Not Seasonally Adjusted,4318,4171,147,3.4,,
Lee County,2017,00,Not Seasonally Adjusted,26199,24857,1342,5.1,,
Lee County,2018,00,Not Seasonally Adjusted,26110,24957,1153,4.4,,
Lee County,2019,00,Not Seasonally Adjusted,25906,24759,1147,4.4,,
Lee County,2020,00,Not Seasonally Adjusted,25103,23122,1981,7.9,,
Lee County,2021,00,Not Seasonally Adjusted,25194,23809,1385,5.5,,
Lee County,2022,00,Not Seasonally Adjusted,26093,24996,1097,4.2,,
Lenoir County,2017,00,Not Seasonally Adjusted,27615,26385,1230,4.5,,
Lenoir County,2018,00,Not Seasonally Adjusted,27454,26365,1089,4.0,,
Lenoir County,2019,00,Not Seasonally Adjusted,27728,26693,1035,3.7,,
Lenoir County,2020,00,Not Seasonally Adjusted,26675,25059,1616,6.1,,
Lenoir County,2021,00,Not Seasonally Adjusted,26833,25477,1356,5.1,,
Lenoir County,2022,00,Not Seasonally Adjusted,27655,26640,1015,3.7,,
Lincoln County,2017,00,Not Seasonally Adjusted,41318,39652,1666,4.0,,
Lincoln County,2018,00,Not Seasonally Adjusted,42007,40534,1473,3.5,,
Lincoln County,2019,00,Not Seasonally Adjusted,43569,42041,1528,3.5,,
Lincoln County,2020,00,Not Seasonally Adjusted,42659,39918,2741,6.4,,
Lincoln County,2021,00,Not Seasonally Adjusted,44077,42258,1819,4.1,,
Lincoln County,2022,00,Not Seasonally Adjusted,46383,44923,1460,3.1,,
Macon County,2017,00,Not Seasonally Adjusted,15015,14317,698,4.6,,
Macon County,2018,00,Not Seasonally Adjusted,15129,14526,603,4.0,,
Macon County,2019,00,Not Seasonally Adjusted,15494,14896,598,3.9,,
Macon County,2020,00,Not Seasonally Adjusted,14939,13950,989,6.6,,
Macon County,2021,00,Not Seasonally Adjusted,15300,14640,660,4.3,,
Macon County,2022,00,Not Seasonally Adjusted,16018,15461,557,3.5,,
Madison County,2017,00,Not Seasonally Adjusted,9826,9408,418,4.3,,
Madison County,2018,00,Not Seasonally Adjusted,9919,9555,364,3.7,,
Madison County,2019,00,Not Seasonally Adjusted,10006,9645,361,3.6,,
Madison County,2020,00,Not Seasonally Adjusted,9279,8648,631,6.8,,
Madison County,2021,00,Not Seasonally Adjusted,9657,9236,421,4.4,,
Madison County,2022,00,Not Seasonally Adjusted,10078,9733,345,3.4,,
Martin County,2017,00,Not Seasonally Adjusted,9452,8922,530,5.6,,
Martin County,2018,00,Not Seasonally Adjusted,9150,8689,461,5.0,,
Martin County,2019,00,Not Seasonally Adjusted,8971,8528,443,4.9,,
Martin County,2020,00,Not Seasonally Adjusted,8607,8023,584,6.8,,
Martin County,2021,00,Not Seasonally Adjusted,8504,8018,486,5.7,,
Martin County,2022,00,Not Seasonally Adjusted,8588,8207,381,4.4,,
McDowell County,2017,00,Not Seasonally Adjusted,20675,19837,838,4.1,,
McDowell County,2018,00,Not Seasonally Adjusted,20803,20088,715,3.4,,
